시장,종목코드,종목명,종가,캔들구름돌파_N주전,돌파시거래량증가(배),MA20구름돌파_N주전,MA60구름돌파_N주전,MA120구름돌파_N주전,GC_60/120_N주전,GC_20/60_N주전,구름상단,구름하단,MA20,MA60,MA120
KOSPI,010130,고려아연,1679000,1,3.92,1,,,,,1525000,1151500,1557550,1101600,887554
KOSPI,248070,솔루엠,19450,1,2.14,,,,,1,17810,17595,16925,16809,19573
KOSPI,001780,알루코,2605,2,19.1,,,,,0,2280,2230,2211,2200,2467
KOSPI,012800,대창,1514,1,3.37,,,,,1,1476,1449,1364,1350,1362
KOSPI,008260,NI스틸,3805,1,4.68,,,,,0,3655,3618,3571,3556,3931
KOSPI,001260,남광토건,10070,1,4.95,,,,,1,9245,9170,8812,8597,7813
KOSDAQ,092730,네오팜,18980,0,1.68,0,,,,,18555,16675,18575,16756,14790
KOSDAQ,192440,슈피겐코리아,27500,2,2.54,,,0,,,25050,24390,23925,24628,25469
KOSDAQ,038110,에코플라스틱,3680,3,63.81,,,2,,,3408,3310,3308,3192,3434
KOSDAQ,100700,세운메디칼,2945,2,28.27,,,,,0,2580,2510,2532,2515,2619
KOSDAQ,053260,금강철강,5530,1,54.0,,,,,0,4652,4600,4297,4250,4509
KOSDAQ,014970,삼륭물산,7850,3,53.18,1,,,,,7055,6795,7399,6835,5284
KOSDAQ,024840,KBI메탈,2670,1,3.29,,,,,1,2298,1951,1986,1930,2125
KOSDAQ,227950,엔투텍,556,0,6.6,,,,,0,514,501,413,406,485
KOSDAQ,128660,피제이메탈,3685,2,10.68,0.0,,1.0,,2,3087,2916,3118,3020,3219
KOSDAQ,024910,경창산업,2130,3,4.26,,,3,,,1999,1656,1960,1754,2025
KOSDAQ,037230,한국팩키지,2630,3,84.57,,,,0.0,3.0,2113,2113,2023,1970,1963
KOSDAQ,291650,압타머사이언스,1790,3,2.09,,,,,2.0,1667,1218,1216,1109,1637
KOSDAQ,037330,인지디스플레,1570,0,3.82,0.0,,,,,1432,1412,1433,1387,1547
KOSDAQ,198080,캐프,2900,3,11.84,,,,,2,2489,2291,2417,2354,2465
KOSDAQ,060850,영림원소프트랩,6350,0,1.97,0,,,,,6170,5917,6243,6001,6834
